Date,Close,Dividends,High,Low,Open,Stock Splits,Ticker,Volume
2014-01-27,1781.56,0,1795.98,1772.88,1791.03,0,^GSPC,4045200000
2014-01-28,1792.5,0,1793.87,1779.49,1783.0,0,^GSPC,3437830000
2014-01-29,1774.2,0,1790.15,1770.45,1790.15,0,^GSPC,3964020000
2014-01-30,1794.19,0,1798.77,1777.17,1777.17,0,^GSPC,3547510000
2014-01-31,1782.59,0,1793.88,1772.26,1790.88,0,^GSPC,4059690000
2014-02-03,1741.89,0,1784.83,1739.66,1782.68,0,^GSPC,4726040000
2014-02-04,1755.2,0,1758.73,1743.82,1743.82,0,^GSPC,4068410000
2014-02-05,1751.64,0,1755.79,1737.92,1753.38,0,^GSPC,3984290000
2014-02-06,1773.43,0,1774.06,1752.99,1752.99,0,^GSPC,3825410000
2014-02-07,1797.02,0,1798.03,1776.01,1776.01,0,^GSPC,3775990000
2014-02-10,1799.84,0,1799.94,1791.83,1796.2,0,^GSPC,3312160000
2014-02-11,1819.75,0,1823.54,1800.41,1800.45,0,^GSPC,3699380000
2014-02-12,1819.26,0,1826.55,1815.97,1820.12,0,^GSPC,3326380000
2014-02-13,1829.83,0,1830.25,1809.22,1814.82,0,^GSPC,3289510000
2014-02-14,1838.63,0,1841.65,1825.59,1828.46,0,^GSPC,3114750000
2014-02-18,1840.76,0,1842.87,1835.01,1839.03,0,^GSPC,3421110000
2014-02-19,1828.75,0,1847.5,1826.99,1838.9,0,^GSPC,3661570000
2014-02-20,1839.78,0,1842.79,1824.58,1829.24,0,^GSPC,3404980000
2014-02-21,1836.25,0,1846.13,1835.6,1841.07,0,^GSPC,3403880000
2014-02-24,1847.61,0,1858.71,1836.78,1836.78,0,^GSPC,4014530000
2014-02-25,1845.12,0,1852.91,1840.19,1847.66,0,^GSPC,3515560000
2014-02-26,1845.16,0,1852.65,1840.66,1845.79,0,^GSPC,3716730000
2014-02-27,1854.29,0,1854.53,1841.13,1844.9,0,^GSPC,3547460000
2014-02-28,1859.45,0,1867.92,1847.67,1855.12,0,^GSPC,3917450000
2014-03-03,1845.73,0,1857.68,1834.44,1857.68,0,^GSPC,3428220000
2014-03-04,1873.91,0,1876.23,1849.23,1849.23,0,^GSPC,3765770000
2014-03-05,1873.81,0,1876.53,1871.11,1874.05,0,^GSPC,3392990000
2014-03-06,1877.03,0,1881.94,1874.18,1874.18,0,^GSPC,3360450000
2014-03-07,1878.04,0,1883.57,1870.56,1878.52,0,^GSPC,3564740000
2014-03-10,1877.17,0,1877.87,1867.04,1877.86,0,^GSPC,3021350000
2014-03-11,1867.63,0,1882.35,1863.88,1878.26,0,^GSPC,3392400000
2014-03-12,1868.2,0,1868.38,1854.38,1866.15,0,^GSPC,3270860000
2014-03-13,1846.34,0,1874.4,1841.86,1869.06,0,^GSPC,3670990000
